race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9585 (0.9386-0.9744),0.0415 (0.0256-0.0614),0.0339 (0.0305-0.0372)
BVAP,0.6025 (0.4348-0.7529),0.3975 (0.2471-0.5652),0.0473 (0.0317-0.0652)
HVAP,0.5404 (0.2556-0.7807),0.4596 (0.2193-0.7444),0.0755 (0.0466-0.1113)
OVAP,0.7608 (0.499-0.9218),0.2392 (0.0782-0.501),0.0794 (0.0371-0.1286)
