race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4524 (0.4314-0.4736),0.5476 (0.5264-0.5686),0.3488 (0.3363-0.3618)
OVAP,0.9261 (0.871-0.9613),0.0739 (0.0387-0.129),0.2438 (0.2033-0.2864)
