race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4674 (0.4508-0.4835),0.5326 (0.5165-0.5492),0.3663 (0.3551-0.3772)
OVAP,0.8809 (0.7985-0.9384),0.1191 (0.0616-0.2015),0.1374 (0.1047-0.1755)
