race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.225 (0.2034-0.2471),0.775 (0.7529-0.7966),0.3541 (0.3436-0.3642)
OVAP,0.9083 (0.8464-0.9533),0.0917 (0.0467-0.1536),0.1703 (0.1359-0.205)
