race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1429 (0.1232-0.1646),0.8571 (0.8354-0.8768),0.3708 (0.3607-0.3811)
OVAP,0.8984 (0.8381-0.9494),0.1016 (0.0506-0.1619),0.2622 (0.2277-0.2961)
