race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5531 (0.5366-0.5697),0.4469 (0.4303-0.4634),0.3768 (0.3641-0.3899)
OVAP,0.9008 (0.8334-0.9481),0.0992 (0.0519-0.1666),0.2214 (0.1777-0.2642)
