race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5562 (0.5365-0.5749),0.4438 (0.4251-0.4635),0.367 (0.3531-0.3807)
BVAP,0.8863 (0.7909-0.9441),0.1137 (0.0559-0.2091),0.2597 (0.1931-0.3264)
HVAP,0.743 (0.4977-0.9157),0.257 (0.0843-0.5023),0.1038 (0.0443-0.1868)
OVAP,0.8161 (0.5939-0.9417),0.1839 (0.0583-0.4061),0.3386 (0.1657-0.5366)
