race,AG14D,AG14R,AG14Turnout
WVAP,0.3662 (0.3468-0.3848),0.6338 (0.6152-0.6532),0.3321 (0.3209-0.3427)
BVAP,0.8894 (0.8029-0.9458),0.1106 (0.0542-0.1971),0.1785 (0.1296-0.2358)
HVAP,0.7472 (0.5224-0.9211),0.2528 (0.0789-0.4776),0.1096 (0.0545-0.179)
OVAP,0.7658 (0.5453-0.9252),0.2342 (0.0748-0.4547),0.1855 (0.0857-0.3384)
