race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7909 (0.7573-0.8242),0.2091 (0.1758-0.2427),0.0903 (0.0852-0.0955)
OVAP,0.1982 (0.1236-0.2767),0.8018 (0.7233-0.8764),0.1155 (0.0983-0.1329)
