race,AG14D,AG14R,AG14Turnout
WVAP,0.3627 (0.3417-0.3826),0.6373 (0.6174-0.6583),0.3373 (0.3267-0.3479)
OVAP,0.9049 (0.8353-0.951),0.0951 (0.049-0.1647),0.1543 (0.1217-0.1895)
