race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5742 (0.5457-0.6022),0.0707 (0.051-0.0926),0.3551 (0.3275-0.3812),0.0573 (0.0542-0.0602)
OVAP,0.1974 (0.1171-0.2845),0.4063 (0.3234-0.4913),0.3963 (0.306-0.4914),0.0535 (0.0444-0.0637)
