race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.428 (0.4085-0.4476),0.572 (0.5524-0.5915),0.3978 (0.3844-0.4114)
OVAP,0.9495 (0.9167-0.9733),0.0505 (0.0267-0.0833),0.27 (0.2255-0.3161)
