race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2758 (0.2406-0.3089),0.3888 (0.3673-0.4109),0.3354 (0.3139-0.3573),0.0563 (0.0534-0.059)
OVAP,0.8264 (0.7527-0.8827),0.0847 (0.0464-0.1371),0.0889 (0.048-0.1506),0.0578 (0.0479-0.0695)
