race,AG18D,AG18R,AG18Turnout
WVAP,0.4147 (0.3928-0.4358),0.5853 (0.5642-0.6072),0.3684 (0.3554-0.3817)
OVAP,0.9234 (0.8705-0.9602),0.0766 (0.0398-0.1295),0.2545 (0.2118-0.2983)
