race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3958 (0.378-0.4139),0.6042 (0.5861-0.622),0.5227 (0.5072-0.5381)
OVAP,0.9475 (0.9058-0.9739),0.0525 (0.0261-0.0942),0.3171 (0.2676-0.3697)
