race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.3635 (0.3425-0.3837),0.6365 (0.6163-0.6575),0.4076 (0.3949-0.4207)
OVAP,0.9328 (0.8862-0.964),0.0672 (0.036-0.1138),0.2835 (0.2421-0.3254)
