race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3907 (0.3602-0.4229),0.6093 (0.5771-0.6398),0.4661 (0.4439-0.489)
OVAP,0.9324 (0.8566-0.978),0.0676 (0.022-0.1434),0.5216 (0.4134-0.6238)
