race,AG18D,AG18R,AG18Turnout
WVAP,0.3403 (0.3037-0.3788),0.6597 (0.6212-0.6963),0.6077 (0.577-0.6402)
OVAP,0.8881 (0.7628-0.9639),0.1119 (0.0361-0.2372),0.5128 (0.3688-0.6506)
