race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8096 (0.7557-0.8609),0.1904 (0.1391-0.2443),0.0993 (0.089-0.1099)
OVAP,0.3077 (0.1813-0.4304),0.6923 (0.5696-0.8187),0.2447 (0.191-0.2974)
