race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5213 (0.4933-0.549),0.4787 (0.451-0.5067),0.6075 (0.5766-0.6391)
OVAP,0.8701 (0.732-0.9531),0.1299 (0.0469-0.268),0.4728 (0.3344-0.6054)
