race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4504 (0.4234-0.4762),0.5496 (0.5238-0.5766),0.5212 (0.4976-0.544)
OVAP,0.8607 (0.7115-0.9533),0.1393 (0.0467-0.2885),0.3206 (0.2154-0.435)
