race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1147 (0.0832-0.1521),0.8853 (0.8479-0.9168),0.6046 (0.581-0.6315)
OVAP,0.8854 (0.7662-0.9605),0.1146 (0.0395-0.2338),0.5238 (0.4003-0.6397)
