race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9779 (0.9596-0.99),0.0221 (0.01-0.0404),0.0338 (0.0282-0.0395)
OVAP,0.8449 (0.7735-0.8961),0.1551 (0.1039-0.2265),0.0841 (0.0584-0.1116)
