race,AG14D,AG14R,AG14Turnout
WVAP,0.2991 (0.268-0.3288),0.7009 (0.6712-0.732),0.4814 (0.4604-0.5016)
OVAP,0.8994 (0.7858-0.9683),0.1006 (0.0317-0.2142),0.3284 (0.2333-0.4319)
