race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2244 (0.1741-0.2788),0.411 (0.3633-0.4587),0.3646 (0.32-0.4107),0.0646 (0.0585-0.0709)
OVAP,0.6395 (0.5117-0.7655),0.1782 (0.0866-0.2893),0.1823 (0.0741-0.2898),0.1414 (0.1094-0.1734)
