race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.38 (0.3438-0.4177),0.62 (0.5823-0.6562),0.5676 (0.5372-0.6006)
OVAP,0.8862 (0.7611-0.9617),0.1138 (0.0383-0.2389),0.4953 (0.3523-0.6286)
