race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2933 (0.2552-0.3334),0.7067 (0.6666-0.7448),0.71 (0.6744-0.7483)
OVAP,0.8894 (0.7571-0.9637),0.1106 (0.0363-0.2429),0.6095 (0.4513-0.7487)
