race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5632 (0.5128-0.6122),0.0873 (0.0543-0.1274),0.3495 (0.3005-0.4015),0.0656 (0.0598-0.072)
OVAP,0.2293 (0.1203-0.3408),0.3698 (0.2609-0.481),0.4009 (0.2804-0.5171),0.1371 (0.106-0.1672)
