race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4528 (0.4272-0.4787),0.5472 (0.5213-0.5728),0.5032 (0.4832-0.5235)
BVAP,0.8346 (0.6311-0.9505),0.1654 (0.0495-0.3689),0.3128 (0.1999-0.4406)
HVAP,0.5883 (0.2457-0.8507),0.4117 (0.1493-0.7543),0.2949 (0.1461-0.4816)
OVAP,0.7488 (0.475-0.9358),0.2512 (0.0642-0.525),0.669 (0.4157-0.871)
