race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2975 (0.2632-0.3342),0.7025 (0.6658-0.7368),0.6932 (0.6621-0.729)
OVAP,0.8897 (0.7676-0.9621),0.1103 (0.0379-0.2324),0.5869 (0.4413-0.7109)
