race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3197 (0.2908-0.3486),0.6803 (0.6514-0.7092),0.6743 (0.6481-0.7021)
OVAP,0.9217 (0.8307-0.975),0.0783 (0.025-0.1693),0.5851 (0.4673-0.6964)
