race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5309 (0.5046-0.5593),0.4691 (0.4407-0.4954),0.5815 (0.5559-0.6086)
BVAP,0.8489 (0.6728-0.9526),0.1511 (0.0474-0.3272),0.4801 (0.3175-0.6251)
HVAP,0.6489 (0.3108-0.8913),0.3511 (0.1087-0.6892),0.5419 (0.3183-0.7865)
OVAP,0.6955 (0.3661-0.9281),0.3045 (0.0719-0.6339),0.8379 (0.673-0.9473)
