race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1319 (0.1051-0.1604),0.8681 (0.8396-0.8949),0.5078 (0.4912-0.5241)
OVAP,0.8981 (0.793-0.968),0.1019 (0.032-0.207),0.3521 (0.2748-0.4384)
