race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0474 (0.0411-0.0538),0.0007 (0.0003-0.0012),0.952 (0.9455-0.9582)
OVAP,0.0535 (0.0273-0.0818),0.0128 (0.0098-0.0157),0.9337 (0.9053-0.9601)
