race,SEN16D,SEN16R,SEN16None
WVAP,0.2988 (0.2675-0.3339),0.4031 (0.3849-0.4151),0.2981 (0.2644-0.33)
OVAP,0.4952 (0.3615-0.6183),0.0695 (0.0206-0.1495),0.4352 (0.3187-0.5596)
