race,AG14D,AG14R,AG14None
WVAP,0.1807 (0.1599-0.2007),0.2828 (0.2738-0.2888),0.5366 (0.5157-0.558)
OVAP,0.1951 (0.1163-0.2862),0.03 (0.008-0.0664),0.7749 (0.6831-0.8574)
