race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0363 (0.0318-0.0404),0.0061 (0.0038-0.0087),0.0257 (0.0217-0.0294),0.9319 (0.9256-0.9384)
OVAP,0.0297 (0.0125-0.0502),0.0263 (0.013-0.0403),0.0303 (0.0145-0.0493),0.9137 (0.8833-0.9418)
