race,AG18D,AG18R,AG18None
WVAP,0.2963 (0.2726-0.3206),0.3249 (0.3116-0.3376),0.3788 (0.3549-0.4008)
BVAP,0.3427 (0.155-0.5477),0.0802 (0.0198-0.1544),0.5772 (0.3734-0.7616)
HVAP,0.3198 (0.1348-0.5376),0.1009 (0.0318-0.1994),0.5793 (0.3778-0.7545)
OVAP,0.5077 (0.245-0.7536),0.1594 (0.0472-0.3288),0.333 (0.11-0.589)
