race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0331 (0.0293-0.0367),0.0047 (0.003-0.0066),0.023 (0.0198-0.0263),0.9392 (0.9338-0.9446)
BVAP,0.0329 (0.0078-0.0656),0.0233 (0.008-0.0442),0.032 (0.0103-0.0646),0.9118 (0.8631-0.952)
HVAP,0.0421 (0.0134-0.0855),0.0397 (0.0142-0.0737),0.0399 (0.0101-0.0838),0.8782 (0.8159-0.929)
OVAP,0.057 (0.0174-0.1077),0.0388 (0.0121-0.0788),0.0553 (0.0189-0.1059),0.849 (0.7749-0.9162)
