race,COMP14D,COMP14R,COMP14None
WVAP,0.2295 (0.2091-0.2481),0.2726 (0.2633-0.279),0.4979 (0.4786-0.5187)
OVAP,0.1629 (0.0922-0.2448),0.0331 (0.0098-0.07),0.804 (0.7207-0.88)
