race,PRES12D,PRES12R,PRES12None
WVAP,0.295 (0.2685-0.3229),0.3954 (0.3815-0.4047),0.3096 (0.284-0.3358)
OVAP,0.4312 (0.3224-0.5364),0.0502 (0.0146-0.104),0.5186 (0.4159-0.6206)
