race,PRES16D,PRES16R,PRES16None
WVAP,0.297 (0.2686-0.3276),0.3958 (0.3792-0.4066),0.3072 (0.2772-0.3356)
OVAP,0.4707 (0.3539-0.5821),0.0589 (0.0181-0.1219),0.4704 (0.3621-0.5781)
