race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0374 (0.0334-0.0414),0.0031 (0.0018-0.0043),0.0098 (0.0077-0.0121),0.0025 (0.0014-0.0037),0.0122 (0.0097-0.0146),0.9351 (0.9297-0.9404)
BVAP,0.0575 (0.0206-0.1044),0.0134 (0.0037-0.027),0.0296 (0.0105-0.0544),0.0171 (0.0059-0.0322),0.0325 (0.0108-0.0621),0.85 (0.7932-0.9007)
HVAP,0.0567 (0.0153-0.11),0.0231 (0.007-0.047),0.0317 (0.0095-0.0644),0.0302 (0.0104-0.0578),0.0389 (0.0136-0.076),0.8194 (0.7461-0.8847)
OVAP,0.0918 (0.0401-0.157),0.0253 (0.0088-0.0496),0.0497 (0.0176-0.0906),0.0293 (0.01-0.0537),0.0625 (0.0251-0.1095),0.7415 (0.654-0.8146)
