race,AG18D,AG18R,AG18None
WVAP,0.2901 (0.2619-0.3187),0.3428 (0.3288-0.3527),0.3671 (0.3375-0.3934)
OVAP,0.4222 (0.3111-0.5394),0.0504 (0.0133-0.1069),0.5275 (0.4118-0.6425)
