race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0268 (0.0226-0.0313),0.0168 (0.0144-0.0189),0.0168 (0.0145-0.0191),0.9396 (0.9342-0.9447)
BVAP,0.0554 (0.0212-0.0997),0.0199 (0.0064-0.0388),0.0233 (0.0071-0.047),0.9014 (0.8496-0.944)
HVAP,0.054 (0.0147-0.1169),0.0246 (0.0065-0.0528),0.0302 (0.0078-0.0631),0.8912 (0.818-0.9439)
OVAP,0.0952 (0.0344-0.1679),0.0324 (0.0098-0.0672),0.0327 (0.0103-0.0652),0.8396 (0.7601-0.9128)
