race,COMP14D,COMP14R,COMP14None
WVAP,0.2199 (0.2028-0.2368),0.2625 (0.2514-0.2718),0.5176 (0.4988-0.5395)
BVAP,0.1365 (0.0322-0.2658),0.045 (0.0113-0.0965),0.8185 (0.6842-0.9265)
HVAP,0.1548 (0.0529-0.2944),0.063 (0.0151-0.1349),0.7822 (0.6293-0.8972)
OVAP,0.3134 (0.121-0.5226),0.1055 (0.0264-0.2241),0.5811 (0.3391-0.7925)
