race,AG14D,AG14R,AG14None
WVAP,0.1753 (0.1596-0.1914),0.2724 (0.2614-0.2819),0.5523 (0.5358-0.5698)
BVAP,0.1569 (0.053-0.2886),0.0447 (0.0132-0.099),0.7984 (0.6625-0.913)
HVAP,0.157 (0.0542-0.2991),0.063 (0.0171-0.1352),0.78 (0.6252-0.8951)
OVAP,0.3381 (0.1235-0.5718),0.0999 (0.0248-0.2229),0.562 (0.3252-0.7762)
