race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0385 (0.0335-0.0437),0.0039 (0.0024-0.0056),0.0106 (0.0078-0.0134),0.0032 (0.0016-0.0049),0.0134 (0.0101-0.0166),0.9304 (0.9235-0.9373)
OVAP,0.0628 (0.041-0.0864),0.0159 (0.0073-0.0255),0.0331 (0.0202-0.0483),0.0216 (0.0119-0.032),0.0382 (0.0231-0.0547),0.8284 (0.7945-0.8612)
