race,COMP18D,COMP18R,COMP18None
WVAP,0.3477 (0.3241-0.3724),0.2645 (0.251-0.2762),0.3879 (0.3614-0.4132)
BVAP,0.3574 (0.1704-0.5851),0.0655 (0.0202-0.1347),0.577 (0.3526-0.7689)
HVAP,0.2934 (0.1219-0.5264),0.0928 (0.0311-0.1853),0.6138 (0.3746-0.8159)
OVAP,0.5268 (0.2765-0.7418),0.1631 (0.0567-0.3137),0.31 (0.1043-0.5436)
