race,SEN18D,SEN18R,SEN18None
WVAP,0.3 (0.2706-0.3307),0.3118 (0.2979-0.3208),0.3882 (0.3576-0.4178)
OVAP,0.4159 (0.299-0.5422),0.0476 (0.0136-0.1031),0.5365 (0.4121-0.6525)
