race,GOV14D,GOV14R,GOV14None
WVAP,0.1524 (0.1327-0.172),0.3421 (0.333-0.3487),0.5055 (0.4858-0.5264)
OVAP,0.2021 (0.1264-0.2872),0.0324 (0.0097-0.0673),0.7655 (0.6786-0.8438)
