race,GOV18D,GOV18R,GOV18None
WVAP,0.1532 (0.1308-0.1797),0.4882 (0.4707-0.5003),0.3586 (0.3347-0.3822)
OVAP,0.3761 (0.2723-0.479),0.0649 (0.0195-0.1306),0.559 (0.4592-0.6569)
