race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0944 (0.0839-0.1045),0.0201 (0.0131-0.0268),0.8856 (0.8738-0.8975)
OVAP,0.0892 (0.0484-0.1359),0.1078 (0.0739-0.1476),0.803 (0.7445-0.855)
