race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0894 (0.0808-0.0982),0.0199 (0.0146-0.0253),0.8906 (0.8805-0.9001)
BVAP,0.079 (0.0256-0.1577),0.0807 (0.0243-0.1478),0.8404 (0.7366-0.9191)
HVAP,0.0911 (0.0304-0.1789),0.1111 (0.043-0.2007),0.7978 (0.6862-0.8967)
OVAP,0.1614 (0.0664-0.2859),0.1335 (0.0561-0.2318),0.7051 (0.5533-0.8311)
