race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0284 (0.023-0.0338),0.0192 (0.0166-0.0213),0.0193 (0.0161-0.0219),0.9331 (0.9264-0.9399)
OVAP,0.0616 (0.0369-0.0891),0.0146 (0.0049-0.0281),0.0175 (0.006-0.034),0.9064 (0.8724-0.9368)
