race,SEN12D,SEN12R,SEN12None
WVAP,0.2341 (0.2112-0.2589),0.3275 (0.316-0.3351),0.4385 (0.414-0.4614)
OVAP,0.3838 (0.2859-0.4833),0.0402 (0.0125-0.0862),0.576 (0.4744-0.6776)
