race,COMP18D,COMP18R,COMP18None
WVAP,0.3424 (0.315-0.3717),0.2798 (0.2645-0.2896),0.3778 (0.3485-0.4048)
OVAP,0.4231 (0.3058-0.5428),0.0527 (0.0149-0.1152),0.5242 (0.411-0.6391)
