,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
1349,Howard,2057,Howard Precinct 02-008,1283,86,18,62,774,2057,1,0.6237238697131745,0.3762761302868255,1891,0.041808458920758386,0.008750607681088965,0.030140982012639768,0.9192999513855129
1358,Howard,2252,Howard Precinct 01-008,1565,61,30,48,687,2252,1,0.6949378330373002,0.30506216696269983,2113,0.02708703374777975,0.013321492007104795,0.021314387211367674,0.9382770870337478
1359,Howard,1598,Howard Precinct 01-013,988,42,18,41,610,1598,1,0.6182728410513142,0.38172715894868586,1497,0.026282853566958697,0.011264080100125156,0.025657071339173967,0.9367959949937422
1360,Howard,2627,Howard Precinct 01-001,2032,106,25,70,595,2627,1,0.7735059002664636,0.22649409973353635,2426,0.04035020936429387,0.00951655881233346,0.026646364674533688,0.923486867148839
1409,Howard,1452,Howard Precinct 02-005,1077,117,15,36,375,1452,1,0.7417355371900827,0.25826446280991733,1284,0.08057851239669421,0.010330578512396695,0.024793388429752067,0.8842975206611571
1410,Howard,2087,Howard Precinct 02-015,1499,98,21,46,588,2087,1,0.7182558696693819,0.2817441303306181,1922,0.04695735505510302,0.010062290368950648,0.022041207474844275,0.920939147101102
1411,Howard,2065,Howard Precinct 02-018,1679,120,14,47,386,2065,1,0.8130750605326876,0.18692493946731234,1884,0.05811138014527845,0.006779661016949152,0.022760290556900726,0.9123486682808717
1412,Howard,2274,Howard Precinct 02-011,1600,85,15,26,674,2274,1,0.7036059806508356,0.2963940193491645,2148,0.03737906772207564,0.006596306068601583,0.011433597185576077,0.9445910290237467
1413,Howard,1532,Howard Precinct 02-019,1154,89,13,34,378,1532,1,0.7532637075718016,0.24673629242819844,1396,0.058093994778067884,0.008485639686684074,0.022193211488250653,0.9112271540469974
1414,Howard,327,Howard Precinct 02-021,278,22,0,14,49,327,1,0.8501529051987767,0.14984709480122324,291,0.0672782874617737,0.0,0.04281345565749235,0.8899082568807339
1415,Howard,2492,Howard Precinct 02-012,1768,133,25,61,724,2492,1,0.709470304975923,0.29052969502407705,2273,0.05337078651685393,0.010032102728731942,0.024478330658105937,0.9121187800963082
1416,Howard,1902,Howard Precinct 02-006,1286,103,12,38,616,1902,1,0.676130389064143,0.323869610935857,1749,0.054153522607781286,0.006309148264984227,0.019978969505783387,0.919558359621451
1417,Howard,4633,Howard Precinct 02-009,1730,82,36,70,2903,4633,1,0.37340815886034967,0.6265918411396504,4445,0.017699115044247787,0.007770343190157565,0.0151090006475286,0.9594215411180661
1418,Howard,1313,Howard Precinct 02-024,1031,78,13,37,282,1313,1,0.7852246763137852,0.21477532368621477,1185,0.0594059405940594,0.009900990099009901,0.02817974105102818,0.9025133282559025
1419,Howard,1532,Howard Precinct 02-007,1267,94,11,40,265,1532,1,0.827023498694517,0.17297650130548303,1387,0.06135770234986945,0.007180156657963447,0.02610966057441253,0.9053524804177546
1496,Howard,2112,Howard Precinct 05-011,1724,79,5,24,388,2112,1,0.8162878787878788,0.18371212121212122,2004,0.03740530303030303,0.0023674242424242425,0.011363636363636364,0.9488636363636364
1497,Howard,1558,Howard Precinct 05-020,1249,61,18,22,309,1558,1,0.8016688061617459,0.19833119383825418,1457,0.03915275994865212,0.011553273427471117,0.014120667522464698,0.9351732991014121
1498,Howard,1752,Howard Precinct 04-006,1451,68,13,30,301,1752,1,0.8281963470319634,0.17180365296803654,1641,0.03881278538812785,0.007420091324200913,0.017123287671232876,0.9366438356164384
1499,Howard,1427,Howard Precinct 04-002,1273,84,13,44,154,1427,1,0.8920812894183602,0.1079187105816398,1286,0.05886475122634898,0.009110021023125438,0.030833917309039945,0.9011913104414856
1500,Howard,2228,Howard Precinct 05-019,1846,112,14,51,382,2228,1,0.8285457809694794,0.17145421903052063,2051,0.05026929982046679,0.0062836624775583485,0.02289048473967684,0.920556552962298
1501,Howard,2504,Howard Precinct 05-001,1817,92,14,62,687,2504,1,0.7256389776357828,0.2743610223642173,2336,0.036741214057507986,0.005591054313099041,0.02476038338658147,0.9329073482428115
1502,Howard,1727,Howard Precinct 03-006,1346,80,13,38,381,1727,1,0.7793862188766647,0.22061378112333527,1596,0.04632310364794441,0.007527504342790967,0.022003474232773594,0.924145917776491
1509,Howard,2158,Howard Precinct 05-006,1511,139,22,48,647,2158,1,0.7001853568118629,0.29981464318813716,1949,0.06441149212233549,0.010194624652455977,0.022242817423540315,0.9031510658016683
1510,Howard,2369,Howard Precinct 06-028,1575,115,24,50,794,2369,1,0.6648374841705361,0.33516251582946394,2180,0.04854368932038835,0.010130856901646263,0.021105951878429716,0.9202195018995357
1511,Howard,1568,Howard Precinct 06-032,1213,75,15,38,355,1568,1,0.7735969387755102,0.2264030612244898,1440,0.04783163265306122,0.009566326530612245,0.02423469387755102,0.9183673469387755
1512,Howard,1414,Howard Precinct 06-003,1102,74,9,32,312,1414,1,0.7793493635077794,0.22065063649222066,1299,0.05233380480905234,0.006364922206506365,0.02263083451202263,0.9186704384724187
1513,Howard,2320,Howard Precinct 05-005,1501,131,27,77,819,2320,1,0.6469827586206897,0.35301724137931034,2085,0.05646551724137931,0.01163793103448276,0.03318965517241379,0.8987068965517241
1514,Howard,1265,Howard Precinct 05-013,838,90,23,42,427,1265,1,0.6624505928853754,0.3375494071146245,1110,0.07114624505928854,0.01818181818181818,0.03320158102766799,0.8774703557312253
1570,Howard,1476,Howard Precinct 05-023,899,87,19,39,577,1476,1,0.6090785907859079,0.39092140921409213,1331,0.05894308943089431,0.012872628726287264,0.026422764227642278,0.9017615176151762
