race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2495 (0.2098-0.2901),0.2424 (0.2085-0.2783),0.5081 (0.4661-0.5499),0.1462 (0.1349-0.1574)
OVAP,0.6655 (0.6467-0.6838),0.1437 (0.1302-0.1577),0.1908 (0.1751-0.2072),0.1351 (0.1306-0.1397)
