race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6174 (0.5708-0.6613),0.1046 (0.0763-0.1374),0.2781 (0.2362-0.3197),0.1387 (0.1272-0.1509)
OVAP,0.4047 (0.3864-0.4229),0.2391 (0.2244-0.2534),0.3562 (0.3395-0.3737),0.1299 (0.1254-0.1344)
