race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7025 (0.6485-0.7506),0.2975 (0.2494-0.3515),0.2505 (0.2283-0.2727)
OVAP,0.302 (0.2802-0.3247),0.698 (0.6753-0.7198),0.2434 (0.2341-0.2527)
