race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7338 (0.7044-0.7629),0.2662 (0.2371-0.2956),0.4968 (0.4662-0.5271)
OVAP,0.9681 (0.9555-0.9783),0.0319 (0.0217-0.0445),0.3152 (0.3007-0.3306)
