race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4184 (0.385-0.4521),0.1463 (0.1208-0.1734),0.1338 (0.1121-0.1553),0.0812 (0.0657-0.0978),0.2202 (0.1932-0.2481),0.1856 (0.1744-0.1976)
OVAP,0.4761 (0.4583-0.4933),0.2541 (0.2389-0.269),0.0591 (0.0507-0.0687),0.0177 (0.0128-0.0235),0.193 (0.1795-0.2069),0.1311 (0.1271-0.1355)
