race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.7194 (0.6884-0.7483),0.2806 (0.2517-0.3116),0.4086 (0.3835-0.4357)
OVAP,0.984 (0.9784-0.9889),0.016 (0.0111-0.0216),0.4287 (0.418-0.4394)
